id,rpt_yr,grad_date,orig_major,grad_major,current_major,biol_108,biol_109,exsc_110,exsc_140,act_english,act_math,act_reading,act_science,act_composite,sat_verbal,sat_math,sat_composite
182265,2009,5/11/2013,PNRS,PSYC,,3,3,,,34,29,30,25,28,,,
254265,2009,,FLIS,,,,,,,26,18,29,21,24,,,
386987,2009,5/11/2013,COMM,COMM,,,,,,34,24,33,25,28,,,
398125,2009,5/11/2013,PNRS,NURS,,3,3,,,,,,,,570,580,1150
401063,2009,5/10/2014,COMM,NURS,,4,3.33,,,30,30,34,28,31,,,
402918,2009,,UNDE,,,,,,,21,17,19,25,21,,,
403895,2009,12/18/2013,BA  ,BA  ,,,,,,19,16,20,19,18,,,
405458,2009,12/17/2014,PNRS,ELED,,,,,,25,25,26,23,26,,,
409581,2009,5/11/2013,SOCI,SOCI,,,,,,,,,,,650,630,1280
412002,2009,5/9/2015,PNRS,NURS,,3,2,,4,29,21,23,26,24,,,
412938,2009,8/12/2014,SOCI,EXSC,,2,2,1,2.67,27,25,20,22,24,,,
428168,2009,5/11/2013,ELED,ELED,,,,,,25,26,22,25,25,,,
429870,2009,5/11/2013,UNDE,EXSC,,3,3,4,4,24,22,28,25,23,,,
432392,2009,5/11/2013,UNDE,BIOL,,,,,,25,26,31,28,27,570,550,1120
433628,2009,5/10/2014,BIOL,NURS,,3,2.33,,,21,18,21,24,20,,,
446324,2009,5/11/2013,PNRS,NURS,,3.33,3,,,25,26,27,27,26,,,
446583,2009,5/11/2013,ELED,EDMI,,,,,,23,23,32,24,25,,,
446584,2009,,EXSC,,,2.33,2,4,4,31,25,33,30,29,,,
449151,2009,5/11/2013,EXSC,P.T.,,2.67,4,3,4,32,30,32,31,30,,,
451712,2009,,BIOL,,,,,,,20,25,22,25,23,,,
454507,2009,5/11/2013,BIOL,R.T.,,2.67,2.33,3.67,4,24,21,31,25,25,,,
455666,2009,5/10/2014,UNDE,MDLS,,3,3.33,2.33,,20,18,21,15,19,,,
457284,2009,,COMM,,,,,,,,,,,,460,540,1000
476866,2009,5/11/2013,BIOL,BIOL,,,,,,30,28,29,25,27,580,600,1180
476923,2009,5/10/2014,PHYS,PHYS,,,,,,26,33,31,25,29,660,600,1260
479488,2009,8/10/2012,ACCT,FLIS,,,,,,26,20,24,24,24,,,
479708,2009,5/11/2013,UNDE,EXSC,,4,3,3,4,21,24,23,24,23,540,580,1120
490141,2009,12/19/2012,PSYC,BA  ,,,,,,32,24,26,24,27,,,
490197,2009,5/11/2013,UNDE,BA  ,,,,,4,31,26,28,27,28,,,
491226,2009,,MUST,,,,,,,21,21,23,21,22,,,
491302,2009,,BA  ,,,,,,,19,28,19,21,22,470,580,1050
491458,2009,5/11/2013,UNDE,EXSC,,3,2.33,4,2,27,27,22,25,25,,,
492003,2009,12/18/2013,UNDE,ELED,,,,,,34,29,36,28,31,,,
492371,2009,12/19/2012,ACCT,BA  ,,,,,,27,29,30,23,27,680,650,1330
492398,2009,,HIST,,,,,,,23,21,29,26,25,,,
492756,2009,5/11/2013,CS  ,PSYC,,,,,,30,23,31,25,26,,,
494007,2009,,CJS.,,,,,,,22,19,24,22,22,480,510,990
494010,2009,5/11/2013,BA  ,BA  ,,,,,,24,19,27,25,24,,,
495657,2009,5/11/2013,PNRS,PSYC,,3,2.33,,,26,23,30,28,27,,,
495860,2009,5/11/2013,CE  ,COMM,,,,,,23,17,27,20,22,,,
497071,2009,5/11/2013,UNDE,PSYC,,,,,,29,30,32,33,30,,,
500073,2009,,ELED,,,4,4,4,4,23,23,23,26,24,,,
500534,2009,,BIOL,,,,,,,24,26,30,27,27,,,
500772,2009,5/10/2014,UNDE,AIT ,,,,,,28,26,35,29,30,,,
500871,2009,5/11/2013,FLIS,FLIS,,,,,,23,17,29,21,23,,,
502870,2009,5/11/2013,BA  ,BA  ,,,,,,,,,,,500,480,980
503762,2009,5/10/2014,PNRS,NURS,,2.67,2,,,27,21,33,22,26,,,
504182,2009,8/10/2012,UNDE,FLIS,,,,,,26,19,18,21,21,,,
513103,2009,,EDMI,,,,,,,20,23,22,24,22,,,
513743,2009,,EXSC,,,2,2,2,2,21,28,28,31,27,,,
514638,2009,,UNDE,,,,,,,22,18,17,23,20,,,
515383,2009,,ART ,,,,,,,25,22,23,24,23,530,590,1120
515453,2009,5/12/2012,ACCT,FINA,,,,,,,,,,,680,680,1360
613264,2009,,PS  ,,,,,,,,,,,,530,500,1030
621526,2009,5/11/2013,UNDE,NURS,,2.33,2.33,3,,20,16,19,21,19,,,
622213,2009,,PNRS,,,0,,,,14,16,20,20,18,,,
431046,2010,,PNRS,,,2.33,1,,,29,28,23,25,26,,,
446766,2010,,THEA,,,,,,,20,19,22,23,21,,,
450995,2010,5/10/2014,BA  ,COMM,,,,,,20,23,22,20,21,420,500,920
472612,2010,5/10/2014,CS  ,ENGL,,,,,,35,32,36,34,34,,,
474844,2010,5/10/2014,PNRS,PSYC,,3,3.33,,,30,24,29,25,26,590,530,1120
478181,2010,5/10/2014,ENGL,ENGL,,,,,,35,31,33,34,33,,,
480668,2010,12/18/2013,BIOL,BA  ,,,,,,34,28,28,25,29,,,
482012,2010,,ACCT,,,,,,,23,24,21,21,22,,,
482062,2010,,PSYC,,,,,,,20,24,24,23,23,,,
482249,2010,5/10/2014,PS  ,PS  ,,,,,,24,16,23,18,20,,,
482256,2010,,PS  ,,,0,,,,26,25,27,23,25,,,
484673,2010,,MUST,,,,,,,22,20,19,20,20,420,350,770
485803,2010,5/10/2014,PSYC,CJS.,,3,2.33,,,23,21,27,23,24,,,
490544,2010,12/17/2014,PNRS,ELED,,2,2,,,22,16,24,22,20,,,
501113,2010,5/10/2014,UNDE,COMM,,,,,3,22,19,18,21,19,,,
512988,2010,5/10/2014,MUST,MUST,,,,,4,28,25,23,24,25,530,530,1160
521361,2010,,EXSC,,,3.33,3.33,2.67,3.67,18,23,20,23,21,,,
524154,2010,,PSYC,,,,,,,28,27,30,26,28,,,
543739,2010,5/10/2014,PNRS,BA  ,,2,,,,29,25,23,25,26,,,
546574,2010,5/10/2014,EXSC,P.T.,,4,4,4,3.67,,,,,,570,530,1100
565602,2010,5/10/2014,COMM,ART ,,,,,,31,30,31,27,29,630,670,1300
614098,2010,5/10/2014,EXSC,EXSC,,3,3,3,3.67,30,30,28,28,28,,,
615715,2010,5/10/2014,ELED,PSYC,,,,,,,,,,,560,510,1070
618609,2010,5/10/2014,UNDE,PSYC,,,,,,23,19,27,21,23,,,
618796,2010,,PSYC,,,2,2,,,31,25,26,25,27,,,
622538,2010,5/10/2014,UNDE,MDLS,,,,,,,,,,,550,450,1000
624527,2010,5/10/2014,BIOL,BIOL,,,,,,19,27,22,22,23,,,
625718,2010,5/10/2014,BA  ,BA  ,,,,,3.33,24,24,19,23,23,,,
627284,2010,,PSYC,,,,,2,3,25,23,22,20,21,,,
627699,2010,12/17/2014,ENGL,ENGL,,,,,,30,25,34,26,29,,,
628871,2010,,ELED,,,,,,,18,18,23,19,20,,,
629371,2010,5/10/2014,EXSC,EXSC,,2,2,2.67,3.67,28,22,24,23,24,,,
631413,2010,,BA  ,,,,,,,22,15,19,16,18,490,420,910
633611,2010,5/10/2014,COMM,COMM,,,,,,,,,,,550,610,1160
635846,2010,5/10/2014,BIOL,BIOL,,,,,,30,32,29,28,29,,,
636052,2010,5/10/2014,EXSC,THEO,,3.67,3,3,4,24,21,21,20,22,,,
640078,2010,,PHYS,,,,,,,17,19,29,22,22,,,
650853,2010,5/10/2014,PS  ,ENGL,,,,,,29,24,34,26,28,,,
651276,2010,,EXSC,,,2.67,4,4,4,22,21,29,26,25,,,
