"182265, 2009, 5/11/2013, PNRS, PSYC, ",BIOL_108,182265
"182265, 2009, 5/11/2013, PNRS, PSYC, ",BIOl 109,2009
"182265, 2009, 5/11/2013, PNRS, PSYC, ",EXSC 110,5/11/2013
"182265, 2009, 5/11/2013, PNRS, PSYC, ",EXSC 140,PNRS
"182265, 2009, 5/11/2013, PNRS, PSYC, ",ACT English,PSYC
"182265, 2009, 5/11/2013, PNRS, PSYC, ",ACT Math,
"182265, 2009, 5/11/2013, PNRS, PSYC, ",ACT Reading,3
"182265, 2009, 5/11/2013, PNRS, PSYC, ",ACT Science,3
"182265, 2009, 5/11/2013, PNRS, PSYC, ",ACT Comp,
"182265, 2009, 5/11/2013, PNRS, PSYC, ",SAT Verbal,
"182265, 2009, 5/11/2013, PNRS, PSYC, ",SAT Math,34
"182265, 2009, 5/11/2013, PNRS, PSYC, ",SAT Comp,29
